,wimp_mass,sensitivity
0,5.000000000000001,
1,5.107531910343094,
2,5.217376443034595,
3,5.329583334214308,
4,5.444203389666464,
5,5.5612885078239,
6,5.680891703266979,
7,5.803067130727886,
8,5.927870109611163,
9,6.055357149041605,
10,6.185585973450835,
11,6.318615548714158,9.358894060492735e-45
12,6.454506108849521,7.460671595390153e-45
13,6.593319183290672,5.994190213453854e-45
14,6.735117624746874,4.853571033035538e-45
15,6.879965637661767,3.9521790887595627e-45
16,7.027928807284289,3.2374293490785917e-45
17,7.179074129364799,2.6625537417649183e-45
18,7.333470040489854,2.205136156118746e-45
19,7.491186449069398,1.8377656455954873e-45
20,7.6522947669903445,1.5388379550250423e-45
21,7.816867941950928,1.2944989724428846e-45
22,7.984980490490464,1.0947351408675632e-45
23,8.156708531729418,9.307699126451254e-46
24,8.332129821835153,7.959593860791199e-46
25,8.511323789228873,6.847949489273069e-46
26,8.694371570549754,5.929768045973689e-46
27,8.881356047392533,5.1307782846997815e-46
28,9.072361883835192,4.463281475831188e-46
29,9.267475564773726,3.909723528369205e-46
30,9.46678543508134,3.4412548704945215e-46
31,9.670381739609834,3.0263539857774936e-46
32,9.878356664051276,2.6826057639344195e-46
33,10.09080437667845,2.3871006801828434e-46
34,10.307821070982985,2.1246009123516593e-46
35,10.529505009230506,1.9087520085057433e-46
36,10.755956566952449,1.7094283400176723e-46
37,10.987278278394799,1.5417074862739162e-46
38,11.223574882944195,1.3933262846776674e-46
39,11.464953372552543,1.2654970406267993e-46
40,11.711523040181559,1.1514240255666298e-46
41,11.96339552928913,1.051399044200452e-46
42,12.22068488438003,9.58916192640281e-47
43,12.483507602643703,8.816357248213074e-47
44,12.751982686702663,8.103142040622623e-47
45,13.026231698495303,7.509948645566575e-47
46,13.306378814317492,6.923925094049563e-47
47,13.59255088104798,6.437495757021907e-47
48,13.884877473582941,5.984875662384288e-47
49,14.18349095350577,5.573844964169145e-47
50,14.488526529018666,5.227140629417023e-47
51,14.800122316163055,4.882514729734633e-47
52,15.11841940135675,4.581975268955653e-47
53,15.443561905275951,4.325130186723307e-47
54,15.775697048111184,4.0661728892530783e-47
55,16.11497521622664,3.8381090724091165e-47
56,16.461550030253125,3.641088745095682e-47
57,16.815578414645437,3.4521308092260236e-47
58,17.17722066873562,3.2730686074607276e-47
59,17.546640539314428,3.116993653793546e-47
60,17.924005294773632,2.9801945283486684e-47
61,18.309485800842975,2.841917971963014e-47
62,18.703256597955857,2.7144511881076877e-47
63,19.105495980278913,2.6019726074986924e-47
64,19.516386076441254,2.50226600217259e-47
65,19.936112931999865,2.4076512754499676e-47
66,20.364866593678578,2.312501439418389e-47
67,20.802841195418686,2.2277445211402405e-47
68,21.250235046280164,2.1519623010469664e-47
69,21.70725072023342,2.0839741458019973e-47
70,22.174095147882056,2.0226213254210435e-47
71,22.650979710158317,1.9561777382770626e-47
72,23.138120334033506,1.8963964790834326e-47
73,23.63573759028691,1.8424601305247428e-47
74,24.14405679337724,1.7936751273543308e-47
75,24.663308103462033,1.7494561063522612e-47
76,25.193726630611152,1.7093057178445353e-47
77,25.735552541261402,1.671946038088949e-47
78,26.289031166960786,1.631899061325237e-47
79,26.854413115451276,1.595527274443029e-47
80,27.431954384140703,1.5624535383192722e-47
81,28.021916476014948,1.532348192766377e-47
82,28.624566518043036,1.504936059220065e-47
83,29.240177382128667,1.4799660986613287e-47
84,29.869027808662917,1.457221371696405e-47
85,30.511402532734227,1.4365095042483236e-47
86,31.16759241305262,1.4176675908603424e-47
87,31.837894563646703,1.4005457178885913e-47
88,32.522612488392895,1.3840869722648945e-47
89,33.22205621843791,1.3671478797158133e-47
90,33.936542452576774,1.3518903244012896e-47
91,34.666394700649775,1.3381945286477912e-47
92,35.411943430023484,1.3259537849723252e-47
93,36.173526215221884,1.3150788726734065e-47
94,36.95148789077565,1.3054823700515219e-47
95,37.74618070735862,1.2970920875006665e-47
96,38.557964491282185,1.2898429268107415e-47
97,39.38720680741992,1.283677617311488e-47
98,40.234283125636004,1.2785449877775307e-47
99,41.099576990792926,1.2743981306521584e-47
100,41.983480196415535,1.2711989914421319e-47
101,42.88639296208992,1.2689133803681973e-47
102,43.80872411467754,1.2675083417890977e-47
103,44.75089127342651,1.2669585920024398e-47
104,45.71332103906405,1.2672429289935558e-47
105,46.6964491869556,1.2683397128311075e-47
106,47.70072086441809,1.2702352785884046e-47
107,48.72659079227678,1.2729155407602145e-47
108,49.77452347075674,1.2763696556160472e-47
109,50.844993389802276,1.2805916101090235e-47
110,51.938485243919764,1.2855752235627292e-47
111,53.05549415164083,1.2913197298968496e-47
112,54.19652587970534,1.297823410788594e-47
113,55.36209707206608,1.3050887746696643e-47
114,56.552735483817905,1.3131195081765618e-47
115,57.76898022015843,1.3219236930807057e-47
116,59.01138198048765,1.33150939409495e-47
117,60.28050330775717,1.3418872269898518e-47
118,61.57691884318245,1.353069641645171e-47
119,62.90121558643227,1.3650723067103448e-47
120,64.25399316141466,1.3779137210331128e-47
121,65.63586408777846,1.3912489056461459e-47
122,67.0474540582541,1.4033139799567443e-47
123,68.4894022219591,1.416103902381289e-47
124,69.96236147379587,1.4296364405647665e-47
125,71.46699875007414,1.4439307752815014e-47
126,73.00399533049075,1.4590095068622348e-47
127,74.57404714660389,1.4748958684865407e-47
128,76.17786509694194,1.4916154876227127e-47
129,77.8161753688885,1.5091954972054136e-47
130,79.48971976749047,1.5276666207626476e-47
131,81.19925605133757,1.5470597718545108e-47
132,82.94555827566516,1.5674099736314955e-47
