,wimp_mass,sensitivity
0,5.000000000000001,
1,5.5709569209792145,
2,6.2071122030812385,
3,6.915910937409992,3.764601963209847e-45
4,7.7056483803280065,1.455218350516553e-45
5,8.585567035004114,6.467511933192638e-46
6,9.56596481883743,3.238658096598785e-46
7,10.658315582669209,1.7963572468203897e-46
8,11.875403392250329,1.08816423522975e-46
9,13.231472143495395,7.096402598934948e-47
10,14.742392262509863,4.959043606548973e-47
11,16.42584644132395,3.6686729246825485e-47
12,18.301536583047085,2.8520790550939275e-47
13,20.39141437837608,2.3154262319302015e-47
14,22.719938211953856,1.9526493467743475e-47
15,25.31435940522088,1.7030192666582107e-47
16,28.205041145734096,1.5304225325976712e-47
17,31.425813835466176,1.4127909140762545e-47
18,35.01437101681893,1.3362247330769341e-47
19,39.01271050997625,1.2917567926382436e-47
20,43.46762592434215,1.27351470123715e-47
21,48.431254296349884,1.2776506319089688e-47
22,53.96168626279089,1.3016828232476228e-47
23,60.123645910680786,1.3440922420407915e-47
24,66.98924826012215,1.4040710470840782e-47
25,74.63884324518439,1.4813653636858485e-47
26,83.16195607012854,1.5761691371581089e-47
27,92.6583349462104,1.68906223195761e-47
28,103.23911847100011,1.820966465274444e-47
29,115.02813631236224,1.9731240465931592e-47
30,128.163358419339,2.1470867982157115e-47
31,142.79850972043124,2.344714323454506e-47
32,159.10486920651067,2.568183906666054e-47
33,177.27327445350068,2.82000638886627e-47
34,197.51635504427549,3.103048253052161e-47
35,220.07102102809864,3.420560154623416e-47
36,245.20123554068968,3.776210168568088e-47
37,273.20110403361195,4.1741225781349108e-47
38,304.39831626704233,4.61892614472603e-47
39,339.1579813484598,5.115804515722298e-47
40,377.88690069970835,5.670554948905902e-47
41,421.0383289600847,6.289655846593875e-47
42,469.11727854354143,6.98034155988806e-47
43,522.6864299306153,7.750687559504266e-47
44,582.372716864775,8.609701674349906e-47
45,648.8746635214575,9.567431839968298e-47
46,722.9705595185845,1.0635083568814927e-46
47,805.527568442854,1.182514776786211e-46
48,897.5118764912552,1.31515500698137e-46
49,1000.0,1.4629811419354984e-46
