,wimp_mass,sensitivity
0,5.000000000000001,
1,5.053372200498923,
2,5.107314119355063,
3,5.161831837992902,
4,5.2169315027527166,
5,5.2726193255835305,
6,5.328901584743437,
7,5.385784625507426,
8,5.443274860882745,
9,5.5013787723319,
10,5.560102910503382,
11,5.619453895970187,
12,5.67943841997622,
13,5.740063245190671,
14,5.801335206470432,
15,5.863261211630672,
16,5.925848242223613,
17,5.989103354325641,
18,6.053033679332808,
19,6.117646424764823,
20,6.182948875077635,
21,6.24894839248468,
22,6.315652417786901,
23,6.383068471211628,
24,6.451204153260398,
25,6.520067145565856,
26,6.5896652117577705,
27,6.660006198338312,9.659748822114066e-45
28,6.731098035566666,8.651354596918701e-45
29,6.802948738353099,7.760499629024706e-45
30,6.875566407162553,6.971632420362639e-45
31,6.948959228927899,6.27283210073104e-45
32,7.023135477972933,5.652411597737854e-45
33,7.098103516945225,5.1010918852711236e-45
34,7.173871797758928,4.610320527443958e-45
35,7.250448862547638,4.1755233350808496e-45
36,7.3278433446274525,3.7845711768591116e-45
37,7.4060639694702814,3.4351806530731204e-45
38,7.485119555687563,3.122297053846294e-45
39,7.565019016024475,2.841945578494695e-45
40,7.645771358364759,2.5903171641187724e-45
41,7.7273856867462705,2.3641385655080185e-45
42,7.809871202387375,2.1598854957532527e-45
43,7.893237204724289,1.9766047348185025e-45
44,7.9774930924595076,1.811200443595542e-45
45,8.06264836462141,1.661940124396315e-45
46,8.148712621635186,1.5266822626306445e-45
47,8.235695566405187,1.4042347342589313e-45
48,8.323607005408839,1.2931872370159379e-45
49,8.41245684980222,1.1923565833930298e-45
50,8.502255116537455,1.100705096717042e-45
51,8.593011929492018,1.0172052948324531e-45
52,8.684737520610117,9.412204223917852e-46
53,8.777442231056218,8.718923882266047e-46
54,8.871136512380945,8.085919675404709e-46
55,8.965830927699367,7.50714478392371e-46
56,9.061536152881887,6.9774232479999025e-46
57,9.158262977757854,6.492143537732079e-46
58,9.256022307332005,6.0469605832900556e-46
59,9.354825163013889,5.638278663115011e-46
60,9.454682683860437,5.262614730485903e-46
61,9.555606127831773,4.917029285555722e-46
62,9.657606873060445,4.598744287396564e-46
63,9.760696419134195,4.3053325143603464e-46
64,9.864886388392422,4.034601236615975e-46
65,9.970188527236495,3.784527933890214e-46
66,10.076614707454038,3.5533558452287095e-46
67,10.184176927557361,3.3394272664351945e-46
68,10.292887314136179,3.1412941416529974e-46
69,10.402758123224755,2.9576155341162927e-46
70,10.513801741683663,2.787201077542706e-46
71,10.626030688596279,2.628924092769095e-46
72,10.739457616680165,2.4818318192749652e-46
73,10.854095313713596,2.344989758310142e-46
74,10.969956703977175,2.2175863213191917e-46
75,11.087054849711013,2.098884599774897e-46
76,11.205402952587278,1.9881792548223154e-46
77,11.325014355198617,1.884898957661369e-46
78,11.445902542562383,1.7884001433329925e-46
79,11.568081143640933,1.6981932157101195e-46
80,11.691563932878173,1.6138126403001935e-46
81,11.81636483175248,1.5348180822009498e-46
82,11.942497910346221,1.4596083751433279e-46
83,12.069977388932012,1.390343641368e-46
84,12.198817639575918,1.326331248897009e-46
85,12.329033187757764,1.2652187126067608e-46
86,12.460638714008738,1.2077958443494673e-46
87,12.593649055566477,1.153810071136632e-46
88,12.728079208047827,1.1030184504550362e-46
89,12.863944327139444,1.0551998071892466e-46
90,13.001259730306462,1.0101554655252474e-46
91,13.14004089851935,9.646205377437222e-47
92,13.280303477999318,9.247936239303765e-47
93,13.422063281982172,8.87194755391349e-47
94,13.565336292501213,8.516791133799171e-47
95,13.710138662188948,8.181116713569655e-47
96,13.856486716098221,7.863641799309352e-47
97,14.004396953542669,7.563229897334203e-47
98,14.153886049956862,7.278793426336766e-47
99,14.3049708587763,7.009326390350265e-47
100,14.457668413337469,6.753903549114876e-47
101,14.611995928798184,6.511654962227967e-47
102,14.767970804078432,6.281783647616748e-47
103,14.925610623821932,6.063534584210809e-47
104,15.084933160378624,5.856220148178704e-47
105,15.245956375808335,5.65918860161757e-47
106,15.408698423905827,5.471837004678607e-47
107,15.573177652247452,5.293593495942033e-47
108,15.739412604259668,5.123938577861169e-47
109,15.907422021309635,4.962382394311798e-47
110,16.077224844818087,4.808461338682244e-47
111,16.24884021839487,4.661750899271081e-47
112,16.422287489997085,4.521844096977098e-47
113,16.597586214110507,4.388367781042941e-47
114,16.774756153954026,4.2609754522781273e-47
115,16.953817283707906,4.1393341569296363e-47
116,17.134789790765534,4.023137721033259e-47
117,17.31769407800946,3.912093157300974e-47
118,17.50255076611156,3.805927866448134e-47
119,17.689380695857853,3.7043894108722484e-47
120,17.878204930498068,3.607237900015771e-47
121,18.069044758120338,3.5142470292601324e-47
122,18.261921694051217,3.4252047247183423e-47
123,18.45685748328132,3.3399120085757916e-47
124,18.653874102916873,3.258185724936691e-47
125,18.852993764657366,3.17984429862123e-47
126,19.05423891729982,3.1047283765392123e-47
127,19.257632249269506,3.032677345812291e-47
128,19.46319669117802,2.9635423024620106e-47
129,19.670955418408308,2.897187008166327e-47
130,19.88093185372765,2.8334767065286627e-47
131,20.09314966992815,2.772288260056228e-47
132,20.307632792495806,2.71350606663364e-47
133,20.52440540230772,2.657016544009774e-47
134,20.743491938358343,2.602717242791187e-47
135,20.96491710051471,2.550511256002434e-47
136,21.188705852301098,2.5003059564380694e-47
137,21.414883423713437,2.452009194384403e-47
138,21.643475314063732,2.405537588514766e-47
139,21.874507294854865,2.3608114010952284e-47
140,22.10800541268609,2.3177543378159525e-47
141,22.343995992189516,2.2762966720833144e-47
142,22.58250563899796,2.2363729621360155e-47
143,22.8235612427445,2.1979179507508834e-47
144,23.067189980093925,2.1608698452091533e-47
145,23.313419317806794,2.1251711081025153e-47
146,23.562277015835868,2.0907659913842313e-47
147,23.813791130455943,2.0576017470141078e-47
148,24.06799001742676,2.0256311451443042e-47
149,24.32490233519,1.9948075494696163e-47
150,24.58455704810008,1.9650838502012375e-47
151,24.846983429689768,1.9364177331820106e-47
152,25.112211065970325,1.9087695298659037e-47
153,25.380269858767168,1.8821031524228365e-47
154,25.651190029090937,1.8563784404314729e-47
155,25.925002120544654,1.8315619207339868e-47
156,26.201737002767192,1.8076192028842457e-47
157,26.481425874913533,1.7845195300977804e-47
158,26.764100269172175,1.762231205203772e-47
159,27.049792054320076,1.7407267288200897e-47
160,27.338533439315555,1.7199808593269872e-47
161,27.630356976929466,1.699965531047281e-47
162,27.925295567415372,1.6806547662239523e-47
163,28.223382462218506,1.662025326063721e-47
164,28.524651267724774,1.644054710192336e-47
165,28.829135949049327,1.6267215121697747e-47
166,29.13687083386601,1.6100051996012116e-47
167,29.44789061627725,1.593885333197999e-47
168,29.762230360725717,1.5783429001584763e-47
169,30.07992550594725,1.5633608577568293e-47
170,30.401011868966478,1.5489210694419154e-47
171,30.725525649134592,1.5350076524447242e-47
172,31.053503432210668,1.5216039097146316e-47
173,31.38498219448625,1.5086947338545539e-47
174,31.71999930695409,1.4962656946428932e-47
175,32.05859253952137,1.4843037408315003e-47
176,32.40080006526789,1.4727958911420222e-47
177,32.746660464749674,1.4617284862875342e-47
178,33.096212730348626,1.4510898185922685e-47
179,33.44949627066847,1.440868013012595e-47
180,33.806550914977656,1.43105141612153e-47
181,34.16741691769992,1.421630004362949e-47
182,34.53213496295224,1.4125939144258192e-47
183,34.90074616913196,1.4039329128715425e-47
184,35.27329209355212,1.3956372074750598e-47
185,35.64981473712696,1.3876980716303999e-47
186,36.03035654910681,1.3801070007703023e-47
187,36.414960431864145,1.3728561539020493e-47
188,36.8036697457301,1.3659371042720956e-47
189,37.196528313883135,1.359342221160739e-47
190,37.593580427289616,1.3530640080112192e-47
191,37.99487084969714,1.347095372605507e-47
192,38.40044482268128,1.3414304552250883e-47
193,38.810348070746066,1.336061978586609e-47
194,39.22462680647902,1.3309837089717045e-47
195,39.643327735761176,1.3261906382904613e-47
196,40.06649806303268,1.321676494594238e-47
197,40.49418549661465,1.3174356585204875e-47
198,40.92643825408784,1.313462998495438e-47
199,41.363305067728604,1.3097535746021424e-47
200,41.804835190003196,1.3063022655316707e-47
201,42.251078399120225,1.3031046494035075e-47
202,42.702085004642946,1.3001565789810457e-47
203,43.157905853160884,1.297453410383083e-47
204,43.6185923340226,1.2949912523475382e-47
205,44.08419638512902,1.2927662196585297e-47
206,44.55477049878923,1.2907739161367935e-47
207,45.03036772763819,1.289011393373881e-47
208,45.51104169061813,1.2874749073512696e-47
209,45.99684657902342,1.2861613548525357e-47
210,46.48783716261018,1.285067493786674e-47
211,46.98406879577099,1.2841900956802499e-47
212,47.485597423775594,1.2835264763148617e-47
213,47.99247958907816,1.2830732724354872e-47
214,48.5047724376919,1.2828284644742016e-47
215,49.02253372563173,1.2827893813901023e-47
216,49.54582182542562,1.282953269196594e-47
217,50.074695732695744,1.2833179347304374e-47
218,50.609215072809306,1.283880738593728e-47
219,51.14944010760114,1.284640155677709e-47
220,51.6954317421672,1.2855939724370238e-47
